编号,章节,公司或主题,事实或计算,期间与口径,来源,链接,证据属性,支持的判断,不能支持的判断,强度
L03,第二章,李宁,"员工5152人；分销渠道占收入46.6%且增长6.3%，直营零售收入下降3.3%",2025财年,李宁2025年报,"https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0422/2026042200804.pdf",经审计年报,解释其人效和渠道结构与安踏不同,不能证明分销模式必然优于直营,强
X01,第二章,特步,"收入141.51亿元、经营利润率14.3%、净利率9.7%、ROE14.5%",2025财年,特步财务指标,"https://www.xtep.com.hk/en/ir/overview.php?cat=finhigh&year=annual",公司正式披露,提供聚焦型多品牌经营参照,不能单独证明品牌孵化成功,强
X02,第二章,特步,"主品牌增长1.5%、专业运动分部增长30.8%；电商占主品牌收入超过三分之一",2025财年,特步年度业绩,"https://www.xtep.com.hk/sc/media/news-item.php?item=p260326",公司正式披露,支持第二增长曲线正在形成,不能判断增量的长期盈利质量,强
X03,第二章,特步,"员工约8800人，其中生产员工占58.8%；库存周转77天",截至2025年末及2025财年,特步2025年报,"https://doc.irasia.com/listco/hk/xtep/annual/2025/ar2025.pdf",经审计年报,说明员工结构显著影响人效比较并提供库存参照,不能直接与轻资产企业做人员效率排名,强
S01,第二章,361度,"收入111.46亿元、经营利润率15.9%、净利率11.7%、ROE13.5%",2025财年,361度2025年报,"https://www.hkexnews.hk/listedco/listconews/sehk/2026/0408/2026040800800.pdf",经审计年报,提供大众品牌扩张样本,不能独立评价品牌高端化能力,强
S02,第二章,361度,"员工6932人；库存周转117天；电商收入占29.5%并增长25.9%",2025财年,361度2025年报,"https://www.hkexnews.hk/listedco/listconews/sehk/2026/0408/2026040800800.pdf",经审计年报,支持渠道扩张与运营资本同时观察,不能证明库存上升完全由电商或扩张导致,强
S03,第三章,361度,主要依靠独家区域第三方分销商开展国内销售,2025财年,361度2025年报,"https://www.hkexnews.hk/listedco/listconews/sehk/2026/0408/2026040800800.pdf",经审计年报,支持渠道联邦型组织判断,不能还原总部与经销商的非公开权责细节,强
N01,第二章,NIKE,"收入463.98亿美元、经营利润率约8.3%、员工约73000人；大中华区收入下降11%",截至2026年5月31日财年,NIKE 10-K,"https://www.sec.gov/Archives/edgar/data/320187/000032018726000088/nke-20260531.htm",监管申报,提供全球规模品牌经营参照,不能与中国企业按不同会计和地域口径直接排名,强
N02,第三章,NIKE,组织轴线由男装女装儿童转向跑步篮球足球等运动项目并赋予团队收入利润率和份额责任,2025至2026年组织调整,NIKE官方访谈,"https://about.nike.com/en/magazine/elliott-hill-ceo-of-sport-interview",公司管理层披露,支持以运动场景形成端到端责任的组织模式判断,不能证明调整结果已经实现,中强
N03,第三章,NIKE,"NIKE、Jordan与Converse的创新设计和产品能力整合为共同创新引擎",2025年组织调整,NIKE官方新闻,"https://about.nike.com/en/newsroom/releases/nike-new-innovation-engine-announcement",公司正式披露,支持全球平台集中与业务责任并存的判断,不能判断跨品牌协同质量,强
D01,第二章,adidas,"收入248.11亿欧元、经营利润率8.3%、归母净利率约5.4%、员工64938人",2025财年,adidas财务摘要,"https://report.adidas-group.com/2025/en/at-a-glance/financial-highlights-2025.html",经审计年报,提供全球单品牌多市场参照,不能与中国企业按不同地域和币种直接排名,强
D02,第三章,adidas,"总部提供全球框架，市场可选择货品、开发本地产品并选择合作伙伴与商业模式；批发与DTC占比60%和40%",2025财年,adidas市场与销售渠道,"https://report.adidas-group.com/2025/en/group-management-report-our-company/description-of-business-model/markets-and-sales-channels.html",经审计年报,支持全球品牌框架与本地市场授权并存的组织判断,不能还原内部决策效率和冲突,强
